56197, 72, 1, 0
56456, 88, 0, 0
56456, 92, 1, 0
56711, 62, 0, 0
56711, 66, 1, 0
56962, 66, 0, 0
56962, 64, 1, 0
57214, 74, 0, 0
57214, 76, 1, 0
57465, 73, 0, 0
57465, 89, 1, 0
57716, 69, 0, 0
57716, 85, 1, 0
57971, 82, 0, 0
57971, 90, 1, 0
58222, 89, 0, 0
58222, 94, 1, 0
58473, 87, 0, 0
58473, 98, 1, 0
58725, 67, 0, 0
58725, 71, 1, 0
58987, 59, 0, 0
58987, 68, 1, 0
59239, 71, 0, 0
59239, 67, 1, 0
59493, 38, 0, 0
59493, 31, 1, 0
59745, 29, 0, 0
59745, 32, 1, 0
59997, 111, 0, 0
59997, 31, 1, 0
60132, 27, 0, 0
